Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas40       Pavarde40      6         5         1         4         1         7         
Vardas41       Pavarde41      4         2         7         8         10        9         
Vardas42       Pavarde42      2         9         8         2         9         6         
Vardas43       Pavarde43      1         4         9         10        4         1         
Vardas44       Pavarde44      7         1         3         1         5         4         
Vardas45       Pavarde45      3         3         3         7         1         2         
Vardas46       Pavarde46      5         2         6         10        3         10        
Vardas47       Pavarde47      3         8         1         5         6         2         
Vardas48       Pavarde48      8         5         9         6         3         7         
Vardas49       Pavarde49      8         1         5         3         10        5         
Vardas50       Pavarde50      9         3         8         6         2         5         
Vardas51       Pavarde51      8         7         10        10        8         3         
Vardas52       Pavarde52      4         10        10        4         5         9         
Vardas53       Pavarde53      9         5         6         2         5         5         
Vardas54       Pavarde54      9         10        2         9         8         3         
Vardas55       Pavarde55      1         7         6         7         7         1         
Vardas56       Pavarde56      3         3         10        6         10        3         
Vardas57       Pavarde57      10        3         8         7         9         10        
Vardas58       Pavarde58      5         9         1         7         10        6         
Vardas59       Pavarde59      4         8         5         5         9         8         
Vardas60       Pavarde60      10        10        8         7         9         9         
Vardas61       Pavarde61      7         4         4         8         9         5         
Vardas62       Pavarde62      1         3         2         2         6         6         
Vardas63       Pavarde63      7         7         9         7         9         9         
Vardas64       Pavarde64      8         3         3         1         3         9         
Vardas65       Pavarde65      2         4         9         6         5         10        
Vardas66       Pavarde66      9         8         10        3         6         10        
Vardas67       Pavarde67      9         9         2         6         9         4         
Vardas68       Pavarde68      1         8         8         5         10        9         
Vardas69       Pavarde69      3         4         9         9         8         7         
Vardas70       Pavarde70      4         10        3         6         9         10        
Vardas71       Pavarde71      9         5         10        10        10        8         
Vardas72       Pavarde72      3         5         3         8         5         1         
Vardas73       Pavarde73      1         8         8         6         6         9         
Vardas74       Pavarde74      4         6         8         6         5         9         
Vardas75       Pavarde75      6         6         4         9         7         7         
Vardas76       Pavarde76      4         10        8         6         5         1         
Vardas77       Pavarde77      7         3         4         5         8         4         
Vardas78       Pavarde78      4         5         5         10        1         5         
Vardas79       Pavarde79      10        5         10        1         8         6         
Vardas80       Pavarde80      3         7         8         8         8         7         
Vardas81       Pavarde81      4         5         2         3         2         9         
Vardas82       Pavarde82      8         4         9         1         10        8         
Vardas83       Pavarde83      4         3         1         5         9         6         
Vardas84       Pavarde84      9         1         1         1         2         10        
Vardas85       Pavarde85      10        8         4         2         10        10        
Vardas86       Pavarde86      2         7         8         2         1         8         
Vardas87       Pavarde87      6         10        5         8         6         1         
Vardas88       Pavarde88      10        4         7         2         5         2         
Vardas89       Pavarde89      9         4         4         6         10        9         
Vardas90       Pavarde90      4         10        10        9         6         7         
Vardas91       Pavarde91      7         3         7         9         8         6         
Vardas92       Pavarde92      10        3         5         5         10        2         
Vardas93       Pavarde93      8         7         4         10        1         6         
Vardas94       Pavarde94      3         6         6         9         3         3         
Vardas95       Pavarde95      9         9         5         3         5         4         
Vardas96       Pavarde96      10        7         1         6         9         10        
Vardas97       Pavarde97      10        8         4         7         1         1         
Vardas98       Pavarde98      3         4         8         8         9         10        
Vardas99       Pavarde99      6         9         8         5         7         5         
Vardas100      Pavarde100     8         9         5         7         10        6         
Vardas101      Pavarde101     5         6         3         6         10        7         
Vardas102      Pavarde102     8         10        1         7         5         4         
Vardas103      Pavarde103     3         10        8         9         8         4         
Vardas104      Pavarde104     5         8         3         2         10        7         
Vardas105      Pavarde105     6         1         3         6         4         3         
Vardas106      Pavarde106     1         5         10        2         10        5         
Vardas107      Pavarde107     8         3         8         7         6         10        
Vardas108      Pavarde108     10        2         6         1         4         9         
Vardas109      Pavarde109     9         7         4         4         3         10        
Vardas110      Pavarde110     8         3         2         10        8         3         
Vardas111      Pavarde111     4         1         8         4         9         5         
Vardas112      Pavarde112     4         10        6         3         2         3         
Vardas113      Pavarde113     7         5         8         5         6         4         
Vardas114      Pavarde114     10        6         3         6         7         5         
Vardas115      Pavarde115     5         5         2         10        2         3         
Vardas116      Pavarde116     10        3         2         3         8         3         
Vardas117      Pavarde117     5         2         3         9         5         9         
Vardas118      Pavarde118     10        6         9         4         4         1         
Vardas119      Pavarde119     10        8         7         9         1         8         
Vardas120      Pavarde120     1         9         2         4         10        6         
Vardas121      Pavarde121     3         2         7         3         2         10        
Vardas122      Pavarde122     4         8         7         9         4         5         
Vardas123      Pavarde123     8         2         3         1         8         2         
Vardas124      Pavarde124     6         5         8         10        7         5         
Vardas125      Pavarde125     3         5         3         8         7         7         
Vardas126      Pavarde126     9         6         6         6         9         9         
Vardas127      Pavarde127     7         9         4         6         8         3         
Vardas128      Pavarde128     5         1         1         2         3         3         
Vardas129      Pavarde129     5         1         5         1         5         8         
Vardas130      Pavarde130     7         3         6         2         4         1         
Vardas131      Pavarde131     6         2         1         6         5         8         
Vardas132      Pavarde132     3         1         3         2         4         1         
Vardas133      Pavarde133     1         4         3         9         3         2         
Vardas134      Pavarde134     1         6         1         4         6         8         
Vardas135      Pavarde135     3         2         3         6         5         10        
Vardas136      Pavarde136     9         3         6         5         1         3         
Vardas137      Pavarde137     8         5         9         7         5         4         
Vardas138      Pavarde138     3         1         5         9         8         8         
Vardas139      Pavarde139     6         4         5         9         1         4         
Vardas140      Pavarde140     6         5         2         5         3         1         
Vardas141      Pavarde141     1         6         2         7         8         10        
Vardas142      Pavarde142     5         2         4         2         8         5         
Vardas143      Pavarde143     3         5         5         3         7         8         
Vardas144      Pavarde144     1         9         9         10        7         10        
Vardas145      Pavarde145     5         6         4         10        4         10        
Vardas146      Pavarde146     5         1         4         10        3         4         
Vardas147      Pavarde147     3         9         9         10        1         2         
Vardas148      Pavarde148     4         2         1         3         5         2         
Vardas149      Pavarde149     4         8         7         5         6         1         
Vardas150      Pavarde150     3         9         6         7         5         5         
Vardas151      Pavarde151     5         6         9         1         4         8         
Vardas152      Pavarde152     8         8         6         8         10        2         
Vardas153      Pavarde153     1         10        9         8         3         3         
Vardas154      Pavarde154     10        8         8         7         2         4         
Vardas155      Pavarde155     5         7         3         2         3         5         
Vardas156      Pavarde156     6         8         1         8         9         10        
Vardas157      Pavarde157     4         10        8         4         6         6         
Vardas158      Pavarde158     6         9         2         1         2         2         
Vardas159      Pavarde159     5         10        10        6         4         5         
Vardas160      Pavarde160     1         9         8         4         5         7         
Vardas161      Pavarde161     6         4         4         1         9         1         
Vardas162      Pavarde162     9         3         6         4         5         5         
Vardas163      Pavarde163     1         5         1         7         8         7         
Vardas164      Pavarde164     6         1         8         6         9         2         
Vardas165      Pavarde165     1         9         9         7         9         5         
Vardas166      Pavarde166     6         6         1         4         10        7         
Vardas167      Pavarde167     2         10        9         4         6         5         
Vardas168      Pavarde168     1         8         7         10        8         9         
Vardas169      Pavarde169     10        6         5         1         3         2         
Vardas170      Pavarde170     10        5         5         3         1         8         
Vardas171      Pavarde171     8         10        2         5         5         8         
Vardas172      Pavarde172     2         6         7         2         3         1         
Vardas173      Pavarde173     4         4         7         10        2         5         
Vardas174      Pavarde174     2         1         3         3         6         5         
Vardas175      Pavarde175     3         7         3         2         5         4         
Vardas176      Pavarde176     10        9         9         2         1         10        
Vardas177      Pavarde177     7         7         9         5         9         4         
Vardas178      Pavarde178     1         7         3         10        3         5         
Vardas179      Pavarde179     3         4         10        8         7         6         
Vardas180      Pavarde180     5         8         2         5         7         6         
Vardas181      Pavarde181     9         4         6         6         10        2         
Vardas182      Pavarde182     3         3         5         9         5         10        
Vardas183      Pavarde183     8         8         8         6         2         6         
Vardas184      Pavarde184     8         7         1         8         2         3         
Vardas185      Pavarde185     4         5         5         7         5         2         
Vardas186      Pavarde186     3         8         8         6         10        9         
Vardas187      Pavarde187     7         8         10        10        8         3         
Vardas188      Pavarde188     5         6         6         7         1         10        
Vardas189      Pavarde189     1         9         2         7         10        6         
Vardas190      Pavarde190     8         8         9         2         2         7         
Vardas191      Pavarde191     4         9         7         3         8         5         
Vardas192      Pavarde192     2         2         6         6         2         3         
Vardas193      Pavarde193     3         7         8         1         5         2         
Vardas194      Pavarde194     5         5         1         6         1         6         
Vardas195      Pavarde195     2         1         2         4         6         9         
Vardas196      Pavarde196     10        10        1         7         3         2         
Vardas197      Pavarde197     3         3         7         8         9         3         
Vardas198      Pavarde198     5         8         8         7         3         6         
Vardas199      Pavarde199     8         8         10        4         3         8         
Vardas200      Pavarde200     9         6         4         10        6         3         
Vardas201      Pavarde201     9         1         2         1         5         3         
Vardas202      Pavarde202     10        3         2         2         4         3         
Vardas203      Pavarde203     1         10        6         1         10        9         
Vardas204      Pavarde204     7         5         1         7         7         9         
Vardas205      Pavarde205     8         10        9         3         4         2         
Vardas206      Pavarde206     9         1         1         3         6         8         
Vardas207      Pavarde207     4         7         6         9         6         2         
Vardas208      Pavarde208     1         3         6         2         8         7         
Vardas209      Pavarde209     4         4         3         7         9         10        
Vardas210      Pavarde210     4         2         2         3         4         9         
Vardas211      Pavarde211     6         10        2         5         7         8         
Vardas212      Pavarde212     10        7         3         9         10        2         
Vardas213      Pavarde213     2         10        2         7         3         2         
Vardas214      Pavarde214     6         4         7         5         1         6         
Vardas215      Pavarde215     3         7         5         10        1         2         
Vardas216      Pavarde216     7         9         6         8         7         3         
Vardas217      Pavarde217     6         4         1         2         7         10        
Vardas218      Pavarde218     9         10        3         7         1         9         
Vardas219      Pavarde219     10        10        5         5         1         1         
Vardas220      Pavarde220     5         4         6         10        1         8         
Vardas221      Pavarde221     2         3         7         1         6         8         
Vardas222      Pavarde222     6         6         1         2         1         10        
Vardas223      Pavarde223     4         5         2         4         4         9         
Vardas224      Pavarde224     1         2         5         6         7         2         
Vardas225      Pavarde225     7         2         4         4         7         3         
Vardas226      Pavarde226     8         6         10        8         6         5         
Vardas227      Pavarde227     2         8         1         7         3         6         
Vardas228      Pavarde228     2         7         7         6         8         1         
Vardas229      Pavarde229     7         9         1         1         8         8         
Vardas230      Pavarde230     2         3         8         2         6         5         
Vardas231      Pavarde231     9         10        3         5         9         5         
Vardas232      Pavarde232     7         7         4         10        9         7         
Vardas233      Pavarde233     1         8         6         5         1         7         
Vardas234      Pavarde234     1         10        8         1         4         9         
Vardas235      Pavarde235     4         9         6         3         4         10        
Vardas236      Pavarde236     6         9         3         3         5         2         
Vardas237      Pavarde237     1         3         10        10        10        1         
Vardas238      Pavarde238     1         1         7         7         8         2         
Vardas239      Pavarde239     3         10        1         2         9         5         
Vardas240      Pavarde240     10        8         10        9         3         9         
Vardas241      Pavarde241     4         8         2         5         2         4         
Vardas242      Pavarde242     3         8         2         8         3         9         
Vardas243      Pavarde243     1         6         1         8         8         4         
Vardas244      Pavarde244     9         3         3         4         6         9         
Vardas245      Pavarde245     3         8         2         5         8         5         
Vardas246      Pavarde246     4         4         2         3         1         1         
Vardas247      Pavarde247     3         9         1         5         4         8         
Vardas248      Pavarde248     2         7         6         1         4         1         
Vardas249      Pavarde249     5         1         7         5         9         4         
Vardas250      Pavarde250     9         6         8         10        6         5         
Vardas251      Pavarde251     3         8         4         6         9         2         
Vardas252      Pavarde252     9         6         2         3         4         8         
Vardas253      Pavarde253     5         6         4         5         4         4         
Vardas254      Pavarde254     10        3         2         8         5         8         
Vardas255      Pavarde255     1         7         2         10        7         4         
Vardas256      Pavarde256     8         1         3         6         5         6         
Vardas257      Pavarde257     9         5         1         2         4         9         
Vardas258      Pavarde258     4         10        1         5         4         9         
Vardas259      Pavarde259     9         9         10        9         8         1         
Vardas260      Pavarde260     8         4         8         4         10        2         
Vardas261      Pavarde261     2         5         5         4         9         6         
Vardas262      Pavarde262     2         2         1         1         5         1         
Vardas263      Pavarde263     6         2         6         9         9         3         
Vardas264      Pavarde264     2         4         4         2         9         3         
Vardas265      Pavarde265     3         8         8         2         7         3         
Vardas266      Pavarde266     10        7         9         1         9         7         
Vardas267      Pavarde267     6         3         9         5         3         2         
Vardas268      Pavarde268     6         8         1         6         5         7         
Vardas269      Pavarde269     3         10        4         5         7         9         
Vardas270      Pavarde270     10        9         1         6         10        4         
Vardas271      Pavarde271     5         2         2         3         7         8         
Vardas272      Pavarde272     7         5         1         10        6         8         
Vardas273      Pavarde273     10        1         1         9         1         4         
Vardas274      Pavarde274     5         3         5         2         10        2         
Vardas275      Pavarde275     6         7         8         10        6         6         
Vardas276      Pavarde276     1         4         2         7         2         6         
Vardas277      Pavarde277     5         4         4         3         4         3         
Vardas278      Pavarde278     3         8         8         9         7         7         
Vardas279      Pavarde279     7         4         1         7         7         4         
Vardas280      Pavarde280     1         3         7         1         7         5         
Vardas281      Pavarde281     8         2         3         7         7         3         
Vardas282      Pavarde282     5         1         3         4         9         10        
Vardas283      Pavarde283     10        2         10        6         5         7         
Vardas284      Pavarde284     9         10        6         9         3         9         
Vardas285      Pavarde285     5         3         4         2         4         8         
Vardas286      Pavarde286     4         3         3         7         2         7         
Vardas287      Pavarde287     5         9         3         9         10        9         
Vardas288      Pavarde288     4         6         2         1         7         2         
Vardas289      Pavarde289     4         6         4         2         9         6         
Vardas290      Pavarde290     5         4         4         2         2         10        
Vardas291      Pavarde291     7         5         5         10        6         2         
Vardas292      Pavarde292     2         4         8         7         1         4         
Vardas293      Pavarde293     1         10        5         6         10        7         
Vardas294      Pavarde294     3         10        6         8         9         2         
Vardas295      Pavarde295     4         2         6         9         9         4         
Vardas296      Pavarde296     9         9         1         1         3         5         
Vardas297      Pavarde297     8         2         10        4         8         10        
Vardas298      Pavarde298     4         9         3         8         5         2         
Vardas299      Pavarde299     9         7         5         2         10        5         
Vardas300      Pavarde300     7         9         1         10        3         6         
Vardas301      Pavarde301     7         1         2         2         1         2         
Vardas302      Pavarde302     1         2         6         7         4         9         
Vardas303      Pavarde303     8         8         7         10        8         9         
Vardas304      Pavarde304     3         1         4         10        6         7         
Vardas305      Pavarde305     10        10        1         1         9         4         
Vardas306      Pavarde306     9         1         5         10        6         9         
Vardas307      Pavarde307     5         5         7         8         5         3         
Vardas308      Pavarde308     2         6         6         10        9         4         
Vardas309      Pavarde309     2         7         4         1         10        6         
Vardas310      Pavarde310     8         5         3         4         1         3         
Vardas311      Pavarde311     8         9         10        3         3         7         
Vardas312      Pavarde312     8         3         6         10        8         9         
Vardas313      Pavarde313     7         6         3         3         2         4         
Vardas314      Pavarde314     7         3         1         4         4         7         
Vardas315      Pavarde315     2         7         8         5         10        9         
Vardas316      Pavarde316     10        8         10        7         10        4         
Vardas317      Pavarde317     7         10        1         5         2         1         
Vardas318      Pavarde318     9         6         1         6         7         6         
Vardas319      Pavarde319     7         9         5         3         4         5         
Vardas320      Pavarde320     8         10        4         1         2         9         
Vardas321      Pavarde321     10        9         7         10        8         7         
Vardas322      Pavarde322     7         9         1         10        8         9         
Vardas323      Pavarde323     10        10        7         4         7         7         
Vardas324      Pavarde324     3         3         6         4         2         4         
Vardas325      Pavarde325     9         2         4         2         4         3         
Vardas326      Pavarde326     10        2         7         6         9         1         
Vardas327      Pavarde327     2         2         6         3         3         10        
Vardas328      Pavarde328     10        5         9         7         9         5         
Vardas329      Pavarde329     1         4         10        6         5         2         
Vardas330      Pavarde330     6         10        2         2         2         5         
Vardas331      Pavarde331     9         9         9         6         6         6         
Vardas332      Pavarde332     2         5         8         7         1         1         
Vardas333      Pavarde333     6         6         7         3         10        4         
Vardas334      Pavarde334     2         5         2         5         10        6         
Vardas335      Pavarde335     6         6         6         8         6         8         
Vardas336      Pavarde336     10        8         7         7         6         7         
Vardas337      Pavarde337     3         3         8         9         1         10        
Vardas338      Pavarde338     1         5         9         8         3         8         
Vardas339      Pavarde339     8         10        7         7         10        5         
Vardas340      Pavarde340     3         7         5         9         7         10        
Vardas341      Pavarde341     5         8         1         5         4         4         
Vardas342      Pavarde342     1         4         2         3         8         2         
Vardas343      Pavarde343     7         10        9         8         1         3         
Vardas344      Pavarde344     9         5         3         4         5         5         
Vardas345      Pavarde345     10        5         2         2         2         5         
Vardas346      Pavarde346     4         8         8         9         1         5         
Vardas347      Pavarde347     4         5         8         3         7         8         
Vardas348      Pavarde348     3         8         6         1         5         7         
Vardas349      Pavarde349     1         8         6         8         8         7         
Vardas350      Pavarde350     8         6         9         2         1         6         
Vardas351      Pavarde351     5         9         1         8         10        9         
Vardas352      Pavarde352     9         1         5         2         9         10        
Vardas353      Pavarde353     4         9         1         6         9         5         
Vardas354      Pavarde354     2         5         3         5         6         1         
Vardas355      Pavarde355     7         8         4         6         9         7         
Vardas356      Pavarde356     7         10        8         5         5         10        
Vardas357      Pavarde357     10        8         1         7         4         5         
Vardas358      Pavarde358     1         3         4         3         6         9         
Vardas359      Pavarde359     1         2         9         8         4         7         
Vardas360      Pavarde360     6         7         10        9         7         8         
Vardas361      Pavarde361     3         9         3         1         1         9         
Vardas362      Pavarde362     8         10        4         1         3         9         
Vardas363      Pavarde363     5         9         10        2         5         8         
Vardas364      Pavarde364     7         1         2         10        6         4         
Vardas365      Pavarde365     7         8         9         4         5         7         
Vardas366      Pavarde366     4         3         8         5         10        7         
Vardas367      Pavarde367     10        6         10        5         3         2         
Vardas368      Pavarde368     1         2         10        9         3         7         
Vardas369      Pavarde369     3         6         10        7         5         4         
Vardas370      Pavarde370     3         1         3         7         5         6         
Vardas371      Pavarde371     10        5         3         3         5         10        
Vardas372      Pavarde372     6         10        1         1         8         10        
Vardas373      Pavarde373     9         7         2         3         6         9         
Vardas374      Pavarde374     2         8         9         4         5         2         
Vardas375      Pavarde375     9         9         3         4         6         1         
Vardas376      Pavarde376     9         4         10        7         8         1         
Vardas377      Pavarde377     7         4         4         9         7         1         
Vardas378      Pavarde378     1         2         2         1         6         2         
Vardas379      Pavarde379     3         5         10        10        3         2         
Vardas380      Pavarde380     6         7         2         5         7         9         
Vardas381      Pavarde381     1         10        6         3         5         3         
Vardas382      Pavarde382     4         8         5         2         10        10        
Vardas383      Pavarde383     7         8         8         5         9         5         
Vardas384      Pavarde384     8         1         1         2         10        2         
Vardas385      Pavarde385     4         7         3         8         9         2         
Vardas386      Pavarde386     5         3         10        6         4         7         
Vardas387      Pavarde387     5         4         5         1         7         4         
Vardas388      Pavarde388     3         10        6         5         7         8         
Vardas389      Pavarde389     7         1         10        4         10        4         
Vardas390      Pavarde390     10        2         7         1         4         4         
Vardas391      Pavarde391     4         9         1         5         9         6         
Vardas392      Pavarde392     9         7         3         8         1         8         
Vardas393      Pavarde393     7         2         4         3         6         4         
Vardas394      Pavarde394     10        1         7         8         9         4         
Vardas395      Pavarde395     10        2         8         9         8         4         
Vardas396      Pavarde396     9         3         5         5         2         6         
Vardas397      Pavarde397     7         9         6         4         3         3         
Vardas398      Pavarde398     3         10        8         2         8         5         
Vardas399      Pavarde399     9         9         2         1         7         4         
Vardas400      Pavarde400     6         3         4         8         7         7         
Vardas401      Pavarde401     4         3         9         2         3         1         
Vardas402      Pavarde402     3         6         4         4         1         10        
Vardas403      Pavarde403     7         9         9         4         6         5         
Vardas404      Pavarde404     10        1         8         5         7         5         
Vardas405      Pavarde405     2         3         6         9         7         1         
Vardas406      Pavarde406     7         9         3         8         5         10        
Vardas407      Pavarde407     8         4         7         9         3         1         
Vardas408      Pavarde408     9         9         7         5         2         3         
Vardas409      Pavarde409     7         8         7         4         4         1         
Vardas410      Pavarde410     9         5         2         10        10        6         
Vardas411      Pavarde411     4         1         8         10        6         6         
Vardas412      Pavarde412     3         2         4         7         10        1         
Vardas413      Pavarde413     9         5         6         7         2         6         
Vardas414      Pavarde414     5         7         6         4         8         6         
Vardas415      Pavarde415     4         9         4         9         4         6         
Vardas416      Pavarde416     3         6         8         7         7         8         
Vardas417      Pavarde417     7         6         7         7         5         2         
Vardas418      Pavarde418     4         9         5         5         9         10        
Vardas419      Pavarde419     5         7         7         3         1         8         
Vardas420      Pavarde420     8         9         1         1         7         8         
Vardas421      Pavarde421     3         7         3         3         9         3         
Vardas422      Pavarde422     4         5         1         4         3         10        
Vardas423      Pavarde423     9         4         6         9         10        8         
Vardas424      Pavarde424     4         7         3         1         10        9         
Vardas425      Pavarde425     10        7         8         7         9         3         
Vardas426      Pavarde426     9         2         1         2         8         10        
Vardas427      Pavarde427     6         1         6         9         7         4         
Vardas428      Pavarde428     2         6         4         7         1         8         
Vardas429      Pavarde429     10        9         2         7         3         2         
Vardas430      Pavarde430     9         4         10        3         4         6         
Vardas431      Pavarde431     5         7         9         3         7         10        
Vardas432      Pavarde432     8         7         7         4         2         7         
Vardas433      Pavarde433     7         6         10        8         7         10        
Vardas434      Pavarde434     10        8         3         2         2         1         
Vardas435      Pavarde435     6         2         8         3         1         5         
Vardas436      Pavarde436     10        10        7         1         10        6         
Vardas437      Pavarde437     2         8         9         10        3         3         
Vardas438      Pavarde438     2         4         2         4         3         1         
Vardas439      Pavarde439     2         9         7         8         6         8         
Vardas440      Pavarde440     5         4         7         6         9         10        
Vardas441      Pavarde441     10        6         2         1         8         2         
Vardas442      Pavarde442     6         10        3         3         2         9         
Vardas443      Pavarde443     2         5         3         3         6         5         
Vardas444      Pavarde444     8         6         5         1         6         1         
Vardas445      Pavarde445     10        8         1         5         5         5         
Vardas446      Pavarde446     6         1         6         7         6         2         
Vardas447      Pavarde447     5         1         9         5         6         3         
Vardas448      Pavarde448     2         9         4         6         5         3         
Vardas449      Pavarde449     9         6         1         4         7         2         
Vardas450      Pavarde450     7         2         7         7         8         3         
Vardas451      Pavarde451     10        6         9         9         7         10        
Vardas452      Pavarde452     2         2         1         7         9         6         
Vardas453      Pavarde453     5         6         8         1         7         8         
Vardas454      Pavarde454     7         4         9         9         1         6         
Vardas455      Pavarde455     8         2         2         8         4         7         
Vardas456      Pavarde456     2         10        4         3         10        7         
Vardas457      Pavarde457     9         6         9         1         9         9         
Vardas458      Pavarde458     2         5         9         9         5         5         
Vardas459      Pavarde459     9         7         8         10        10        4         
Vardas460      Pavarde460     9         8         5         1         6         8         
Vardas461      Pavarde461     1         3         3         3         4         3         
Vardas462      Pavarde462     3         2         6         8         1         1         
Vardas463      Pavarde463     1         6         1         6         8         5         
Vardas464      Pavarde464     4         2         1         2         3         7         
Vardas465      Pavarde465     10        6         2         8         2         10        
Vardas466      Pavarde466     4         5         5         8         6         1         
Vardas467      Pavarde467     2         4         9         6         8         1         
Vardas468      Pavarde468     4         2         9         2         2         1         
Vardas469      Pavarde469     2         8         7         3         8         8         
Vardas470      Pavarde470     7         1         6         1         6         2         
Vardas471      Pavarde471     7         5         7         4         3         7         
Vardas472      Pavarde472     9         3         9         5         4         5         
Vardas473      Pavarde473     9         10        3         6         8         4         
Vardas474      Pavarde474     1         8         6         7         1         6         
Vardas475      Pavarde475     6         10        6         10        2         4         
Vardas476      Pavarde476     8         4         5         10        2         5         
Vardas477      Pavarde477     6         9         2         2         5         3         
Vardas478      Pavarde478     2         10        9         7         6         9         
Vardas479      Pavarde479     7         2         1         3         10        2         
Vardas480      Pavarde480     9         1         5         7         3         2         
Vardas481      Pavarde481     9         5         2         5         6         9         
Vardas482      Pavarde482     3         3         5         6         7         1         
Vardas483      Pavarde483     4         4         3         10        2         4         
Vardas484      Pavarde484     1         1         4         7         4         9         
Vardas485      Pavarde485     2         5         5         1         3         9         
Vardas486      Pavarde486     8         2         2         6         8         6         
Vardas487      Pavarde487     3         2         7         3         2         1         
Vardas488      Pavarde488     10        2         6         4         2         5         
Vardas489      Pavarde489     4         7         4         1         3         7         
Vardas490      Pavarde490     1         4         10        4         9         4         
Vardas491      Pavarde491     3         7         7         9         4         9         
Vardas492      Pavarde492     8         9         10        10        4         9         
Vardas493      Pavarde493     10        10        1         7         1         1         
Vardas494      Pavarde494     2         1         5         3         3         4         
